bathrooms,bedrooms,floor_location,link,neighborhood,parking_spots,price,stratum,surface,total_levels,yard,backyard,remodeled,terrace,residencial_building,pool,status_en construccion,status_lanzamiento,status_nuevo,status_para entrega,status_sobre planos,status_usado,city_cali,city_jamundi,city_palmira,property_type_apartamento,property_type_casa,property_type_lote o casalote
7.0,9.0,0.0,https://fincaraiz.elpais.com.co/aviso/casas-venta-cali-sur-el-limonar-ag1208954,el limonar,0.0,670000000.0,5.0,444.0,2.0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0
3.0,3.0,0.0,https://fincaraiz.elpais.com.co/aviso/casas-venta-cali-centro-san-nicolas-vp1189866-DoraPatriciaMorales,san nicolas,0.0,220000000.0,3.0,90.0,3.0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0
3.0,3.0,0.0,https://fincaraiz.elpais.com.co/aviso/casas-venta-cali-sur-el-limonar-ag1208267,el limonar,0.0,350000000.0,5.0,143.0,2.0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0
9.0,8.0,0.0,https://fincaraiz.elpais.com.co/aviso/casas-venta-cali-norte-dapa-vp907817-mdminmobiliaria,dapa,0.0,1900000000.0,0.0,6.0,1.0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,1,0
2.0,3.0,1.0,http://www.metrocuadrado.com/inmueble/venta-apartamento-cali-lili-3-habitaciones-2-banos-1-garajes/4941-M2268460,el lili,1.0,150000000.0,4.0,60.0,0.0,0,0,0,1,1,1,0,0,0,0,0,1,1,0,0,1,0,0
3.0,3.0,1.0,http://www.metrocuadrado.com/inmueble/venta-apartamento-cali-la-campina-3-habitaciones-3-banos-1-garajes/MC2268465,la campina,1.0,240000000.0,4.0,97.0,0.0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,1,0,0
1.0,3.0,1.0,http://www.metrocuadrado.com/inmueble/venta-casa-cali-san-juan-bosco-3-habitaciones-1-banos/MC2268393,san juan bosco,0.0,300000000.0,3.0,200.0,0.0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,1,0
0.0,3.0,1.0,http://www.metrocuadrado.com/inmueble/venta-apartamento-palmira-3-habitaciones-1-garajes/2361-79035,palmira,1.0,130000000.0,3.0,51.0,0.0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,1,1,0,0
2.0,2.0,0.0,https://www.fincaraiz.com.co/apartamento-en-venta/cali/ciudad_bochalema-det-4089943.aspx,ciudad bochalema,0.0,149500000.0,4.0,60.0,0.0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,1,0,0
3.0,2.0,0.0,https://www.fincaraiz.com.co/apartamento-en-venta/cali/ingenio-det-4192555.aspx,el ingenio,2.0,265000000.0,5.0,98.0,0.0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0
2.0,2.0,0.0,https://www.fincaraiz.com.co/prados-del-rosal/cali/proyecto-nuevo-det-1565911.aspx,prados del norte,0.0,200000000.0,4.0,67.1,0.0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0
2.0,2.0,0.0,https://www.fincaraiz.com.co/apartamento-en-venta/cali/valle_del_lili-det-4169138.aspx,valle del lili,1.0,150000000.0,4.0,60.0,0.0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,1,0,0
3.0,3.0,0.0,https://www.fincaraiz.com.co/apartamento-en-venta/cali/caney-det-4045670.aspx,el caney,1.0,298000000.0,5.0,95.0,0.0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,1,0,0
2.0,3.0,0.0,https://www.vivendo.co/proyectos/cali/terracentro,sin barrio,0.0,134900000.0,3.0,48.68,0.0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0
2.0,3.0,0.0,https://www.vivendo.co/proyectos/cali/altos-del-semillero,sin barrio,0.0,150000000.0,4.0,54.15,0.0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0
2.0,3.0,0.0,https://www.vivendo.co/proyectos/cali/aurora-ciudad-pacifica,sin barrio,0.0,206000000.0,3.0,72.56,0.0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0
2.0,3.0,0.0,https://www.vivendo.co/proyectos/cali/podium,sin barrio,0.0,296873500.0,0.0,100.7,0.0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0
1.0,2.0,0.0,https://www.vivendo.co/proyectos/jamundi/casaterra,sin barrio,0.0,586170060.0,4.0,161.96,0.0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0
5.0,5.0,0.0,https://fincaraiz.elpais.com.co/aviso/casas-venta-cali-sur-el-ingenio-ag1208288,el ingenio,0.0,650000000.0,0.0,600.0,4.0,0,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,1,0
4.0,7.0,0.0,https://fincaraiz.elpais.com.co/aviso/casas-venta-cali-norte-el-saman-vp912307-mdminmobiliaria,el saman,0.0,265000000.0,3.0,225.0,2.0,1,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,1,0
1.0,3.0,0.0,https://fincaraiz.elpais.com.co/aviso/casas-venta-cali-norte-popular-ag1208293,popular,0.0,135000000.0,0.0,110.0,0.0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,1,0
